214MMX,-1,EA,2ZJ4681997,140827273
177MMX,-1,EA,2ZJ4681997,140827273
203MMX,-1,EA,2ZJ4681997,140827273
426MMX,-1,EA,2ZJ4681997,140827273
282MMX,-1,EA,2ZJ4681997,140827273
2864MX,-6,EA,2ZJ4681997,140827273
2555MX,-1,EA,2ZJ4681807,140826977
4004MX,-2,EA,2ZJ4681807,140826977
2641MX,-2,EA,2ZJ4681807,140826977
3525MX,-1,EA,2ZJ4681807,140826977
1065MX,-2,EA,2ZJ4681807,140826977
2864MX,-2,EA,2ZJ4681807,140826977
4000MX,-1,EA,2ZJ4678485,140820940
0085MX,-1,EA,2ZJ4678485,140820940
0884MX,-1,EA,2ZJ4679383,140822546
0922MX,-1,EA,2ZJ4679383,140822546
0964MX,-1,EA,2ZJ4679383,140822546
4000MX,-2,EA,2ZJ4679383,140822546
3525MX,-2,EA,2ZJ4679383,140822546
0085MX,-1,EA,2ZJ4679383,140822546
1019MX,-2,EA,2ZJ4679383,140822546
0065MX,-1,EA,2ZJ4679383,140822546
2131MX,-1,EA,2ZJ4680393,140824351
0831MX,-1,EA,2ZJ4680393,140824351
1473MX,-1,EA,2ZJ4680393,140824351
0922MX,-1,EA,2ZJ4680393,140824351
0963MX,-2,EA,2ZJ4680393,140824351
1188MX,-1,EA,2ZJ4680393,140824351
1065MX,-2,EA,2ZJ4680393,140824351
0085MX,-2,EA,2ZJ4680393,140824351
1155MX,-1,EA,2ZJ4680393,140824351
0963MX,-1,EA,2T42354354,140819215
1019MX,-1,EA,2T42354354,140819215
0065MX,-1,EA,2T42354354,140819215
049KMX,-1,EA,2ZJ4676677,140817725
0884MX,-1,EA,2ZJ4676677,140817725
2631MX,-1,EA,2ZJ4676677,140817725
4002MX,-1,EA,2ZJ4676677,140817725
4004MX,-1,EA,2ZJ4676677,140817725
0413MX,-2,EA,2ZJ4676677,140817725
0085MX,-1,EA,2ZJ4676677,140817725
1019MX,-1,EA,2ZJ4676677,140817725
1610MX,-11,EA,2ZJ4677362,140818859
2631MX,-12,EA,2ZJ4677362,140818859
0079MX,-6,EA,2ZJ4677362,140818859
1155MX,-8,EA,2ZJ4677362,140818859
0922MX,-1,EA,2T42357838,140827371
4000MX,-1,EA,2T42357838,140827371
3C32MX,-1,EA,2ZJ4681723,140826836
2631MX,-1,EA,2ZJ4681670,140826709
4000MX,-2,EA,2ZJ4681670,140826709
4001MX,-1,EA,2ZJ4681670,140826709
044KMX,-1,EA,2ZJ4680981,140825449
1019MX,-1,EA,2ZJ4680981,140825449
426MMX,-2,EA,2ZJ4677047,140818350
282MMX,-1,EA,2ZJ4677047,140818350
0413MX,-3,EA,2ZJ4677047,140818350
214MMX,-1,EA,2T42357444,140826412
177MMX,-1,EA,2T42357444,140826412
203MMX,-1,EA,2T42357444,140826412
0831MX,-1,EA,2ZJ4680731,140824977
3119MX,-1,EA,2ZJ4680731,140824977
1019MX,-2,EA,2ZJ4680731,140824977
0065MX,-1,EA,2ZJ4680731,140824977
3C32MX,-1,EA,2ZJ4681923,140827133
455LMX,-1,EA,QQJ4682121,140827541
3C62MX,-1,EA,2ZJ4682158,140827574
2648MX,-3,EA,2ZJ4679188,140822195
0922MX,-2,EA,2ZJ4679188,140822195
3119MX,-4,EA,2ZJ4679188,140822195
1188MX,-1,EA,2ZJ4679188,140822195
2864MX,-6,EA,2ZJ4679188,140822195
1926MX,-1,EA,2ZJ4676828,140817986
4001MX,-1,EA,2ZJ4676828,140817986
3C32MX,-1,EA,2ZJ4681747,140826850
687NMX,-1,EA,2ZJ4681737,140826830
682NMX,-1,EA,2ZJ4681737,140826830
602797,-1,EA,2ZJ4681737,140826830
602762,-1,EA,2ZJ4681737,140826830
2374MX,-1,EA,2T42357600,140826821
4002MX,-1,EA,2T42357600,140826821
1065MX,-1,EA,2T42357600,140826821
2864MX,-1,EA,2T42357600,140826821
1019MX,-1,EA,2T42357600,140826821
1638MX,-1,EA,2T42328187,140778591
1610MX,-1,EA,2T42328187,140778591
2631MX,-1,EA,2T42328187,140778591
0963MX,-1,EA,2T42328187,140778591
4004MX,-1,EA,2T42328187,140778591
4000MX,-2,EA,2T42328187,140778591
3119MX,-1,EA,2T42328187,140778591
2641MX,-2,EA,2T42328187,140778591
1065MX,-1,EA,2T42328187,140778591
1019MX,-1,EA,2T42328187,140778591
4000MX,-1,EA,2ZJ4681424,140826229
1019MX,-2,EA,2ZJ4681424,140826229
044KMX,-1,EA,2ZJ4679824,140823357
1610MX,-1,EA,2ZJ4679824,140823357
1829MX,-1,EA,2ZJ4679824,140823357
2374MX,-1,EA,2ZJ4679824,140823357
2631MX,-1,EA,2ZJ4679824,140823357
4007MX,-1,EA,2ZJ4679824,140823357
1065MX,-1,EA,2ZJ4679824,140823357
0413MX,-2,EA,2ZJ4662809,140780838
4002MX,-1,EA,2ZJ4682071,140827417
3119MX,-1,EA,2ZJ4682071,140827417
1019MX,-1,EA,2ZJ4682071,140827417
177MMX,-1,EA,2ZJ4681407,140826315
203MMX,-1,EA,2ZJ4681407,140826315
